env,n_test,AUROC
1,29565,0.6399269653517489
17,6781,0.6195425453782394
2,1104,0.6476778893697321
20,161,0.6608894702419882
22,12,0.6
3,187,0.5475774770842426
4,3187,0.6494745317113871
5,855,0.5825432675893584
6,2264,0.6265907168340137
7,57494,0.6331193921664069
8,16,0.6071428571428572
9,125,0.6270604395604396
